T,Tbar,mu,mubar,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x,err_tuniv
45,139,0.022222222222222223,0.00719424460432,29.3843964582,0.956187803271,671.1962342083601,0.829111795867,3.85177629450806,-9.42246382996e-09,-2.59217788979e-08,4.15528722542e-13
45,138,0.022222222222222223,0.00724637681159,29.3675137676,0.955900506892,671.3001599278526,0.828227737004,3.82696978623088,-8.6246880087e-09,-2.63235292717e-08,-1.43218770177e-14
45,137,0.022222222222222223,0.00729927007299,29.3735898853,0.955609280099,671.7521097301468,0.825301938763,3.80215734051342,-1.55422062606e-08,-9.92767596264e-08,1.13739573315e-12
45,136,0.022222222222222223,0.00735294117647,29.3267201472,0.955314227731,671.4135484959767,0.826989725999,3.77683149824341,-1.71231369886e-08,-7.21075971624e-09,-2.50917342459e-12
45,135,0.022222222222222223,0.00740740740741,29.3138803981,0.95501525907,671.5914508734263,0.82566041678,3.75151742981223,-1.83262582133e-08,-2.2481785366e-08,-3.1684377344e-13
45,134,0.022222222222222223,0.00746268656716,29.289770725,0.954712244896,671.601198466335,0.825303136623,3.72601214755041,-1.97896141383e-08,-2.63960447219e-09,-2.80245271433e-12
45,133,0.022222222222222223,0.00751879699248,29.2737794861,0.954405154349,671.7391360601536,0.824193651269,3.70034169211886,-1.86357710241e-08,-9.37022620926e-09,-2.80830914079e-13
45,132,0.022222222222222223,0.00757575757576,29.250862974,0.954093744744,671.77503940149,0.823675274504,3.67449216556654,-2.30024661518e-08,5.50651089752e-09,3.69142216794e-12
45,131,0.022222222222222223,0.00763358778626,29.2400878671,0.953778179694,672.0010034898074,0.822033263767,3.64847183916614,-1.83830650291e-08,-1.97290000867e-08,1.39874223315e-12
45,130,0.022222222222222223,0.00769230769231,29.2048069321,0.953458103841,671.8526390257116,0.822592717083,3.62228044540309,-2.01616257837e-08,3.48750092983e-08,1.02048786088e-11
45,129,0.022222222222222223,0.0077519379845,29.1960497858,0.953133582309,672.1200082337423,0.820693953711,3.59587409724038,-1.91089016899e-08,1.08765052302e-09,4.50889325876e-13
45,128,0.022222222222222223,0.0078125,29.1863290939,0.952804462829,672.3759783768877,0.818841635089,3.56932250208581,-1.90234965173e-08,-3.08492718039e-08,-3.20715676239e-13
45,127,0.022222222222222223,0.00787401574803,29.1963857272,0.952470664651,672.9337578801338,0.815111936218,3.54282984667431,-2.084494022e-08,-1.31364009787e-07,1.35613742458e-13
45,126,0.022222222222222223,0.00793650793651,29.1518910725,0.95213206231,672.6696279872082,0.816410093524,3.51565971953402,-1.90636370049e-08,-4.75021410481e-08,5.40401057236e-13
45,125,0.022222222222222223,0.008,29.126805511,0.951788570338,672.7022429783889,0.815879109169,3.48852010199288,-1.92449491018e-08,-3.01518900569e-08,-5.81742987116e-13
45,124,0.022222222222222223,0.00806451612903,29.1479605894,0.951440098009,673.4387402839959,0.810947350919,3.46166015436385,-2.28826984821e-08,-1.74694644926e-07,1.03599767654e-12
45,123,0.022222222222222223,0.00813008130081,29.2050578617,0.951086599626,674.637191638469,0.802608846935,3.43654898647926,-4.19306349295e-08,-4.49166734294e-07,-2.36671793274e-12
45,122,0.022222222222222223,0.00819672131148,29.0746727449,0.950727696495,673.1850314225267,0.811883648976,3.40609249856443,-1.88778622332e-08,-6.38491245266e-08,-1.75487402387e-12
45,121,0.022222222222222223,0.00826446280992,29.0382144363,0.950363559,673.059524025897,0.812313019005,3.37816465835378,-1.74345669659e-08,-9.01228563674e-09,-1.20337767529e-13
45,120,0.022222222222222223,0.00833333333333,29.1787951852,0.949994048881,675.4705567999366,0.795747079837,3.35475626867005,-6.04502293821e-08,-5.94460073182e-07,-4.07518463419e-12
45,119,0.022222222222222223,0.00840336134454,29.1490588065,0.949618858218,675.4842051877491,0.795340655857,3.32609192022714,-5.56946626314e-08,-5.70124682273e-07,5.9600102631e-12
45,118,0.022222222222222223,0.00847457627119,28.9724739035,0.949237873067,673.3911128061116,0.809174982977,3.29341470596892,-1.53498190028e-08,-5.3719173622e-09,-2.56347026939e-13
45,117,0.022222222222222223,0.00854700854701,28.9481152967,0.948851135876,673.4736186123374,0.808289513321,3.26477997428171,-1.4250739658e-08,2.82417410945e-09,4.61080826297e-13
45,116,0.022222222222222223,0.00862068965517,28.9471034646,0.948458433733,673.9294209570508,0.805032609163,3.23603370534784,-1.30009697765e-08,-7.76034908659e-08,3.49642537145e-12
45,115,0.022222222222222223,0.00869565217391,28.9048759988,0.94805957453,673.7423738136689,0.805844002079,3.20692882640236,-1.2098307782e-08,-4.53303214398e-09,-9.36056787637e-13
45,114,0.022222222222222223,0.00877192982456,28.8913275033,0.947654498397,674.0131098021546,0.803735444671,3.17773228968721,-9.30847470977e-09,-4.09631365271e-08,1.65611968583e-12
45,113,0.022222222222222223,0.00884955752212,28.9243439016,0.947243010493,674.9887496772079,0.796858221937,3.14914104613389,-1.4469455462e-08,-2.59333088526e-07,1.38834777008e-12
45,112,0.022222222222222223,0.00892857142857,28.8443216673,0.946824901443,674.2579790480154,0.801379259573,3.11870591605952,-5.43549855575e-09,-4.21047605851e-08,-2.32006774903e-11
45,111,0.022222222222222223,0.00900900900901,28.8159444318,0.946400093095,674.3120613303217,0.800631431182,3.08888173104587,-2.86544317446e-09,-2.54322681352e-08,5.08815212186e-13
45,110,0.022222222222222223,0.00909090909091,28.7895108684,0.945968306221,674.4027125413836,0.799639762538,3.05886929328493,-3.04061758632e-09,-1.74313194061e-08,-1.23481780356e-12
45,109,0.022222222222222223,0.00917431192661,28.7779395839,0.945529332752,674.7353998097719,0.797046161997,3.02871898686885,-8.02497479503e-09,-7.03595276236e-08,-7.06859570876e-12
45,108,0.022222222222222223,0.00925925925926,28.7182197803,0.945083129488,674.3015496510375,0.799463282721,2.99831206127345,-1.13354539418e-08,6.98882295581e-08,3.15553139174e-13
45,107,0.022222222222222223,0.00934579439252,28.7194355466,0.944629403854,674.8608109126045,0.795394970668,2.96766363321246,-1.80626672713e-08,-3.8651942445e-08,-1.47173662146e-11
