theta,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.348,1.053084478,19.94151485,0.895279394,692.3178603,0.707099815,6.01E-16,5.77E-17,-1.53E-15
0.347,1.046788807,19.95215267,0.895045349,692.3183481,0.706761274,4.81E-17,1.94E-18,-1.47E-15
0.346,1.040587077,19.96305379,0.894813559,692.3183236,0.706428849,-6.60E-16,-3.56E-15,-4.16E-16
0.345,1.034478164,19.97422014,0.894584033,692.3177854,0.706102554,-9.73E-18,6.97E-17,1.94E-16
0.344,1.028460957,19.98565365,0.894356779,692.3167323,0.705782405,-2.56E-14,-2.19E-14,-2.41E-15
0.343,1.022542088,20.00122522,0.894131802,692.3947349,0.704246345,-5.36E-10,-7.09E-08,-9.07E-13
0.342,1.016697322,20.00933001,0.89390913,692.3130764,0.7051606,3.42E-14,-2.78E-14,4.53E-13
0.341,1.010948763,20.02157684,0.893688751,692.3104708,0.704858973,3.58E-13,-1.16E-15,3.30E-15
0.34,1.005287651,20.0340988,0.893470681,692.307345,0.704563547,7.96E-18,6.24E-17,-1.69E-15
0.339,0.999712963,20.04689791,0.893254928,692.3036975,0.704274338,5.33E-16,1.15E-14,-8.60E-15
0.338,0.994223691,20.05997624,0.8930415,692.2995269,0.703991358,-2.35E-17,-4.68E-16,4.39E-15
0.337,0.988818845,20.07333587,0.892830405,692.2948317,0.703714624,-4.42E-15,-1.72E-15,-2.50E-16
0.336,0.983497447,20.08697891,0.892621651,692.2896103,0.703444148,5.23E-13,2.44E-14,1.94E-15
0.335,0.978258536,20.10090749,0.892415245,692.2838611,0.703179945,1.68E-13,6.35E-14,3.00E-15
0.334,0.973101166,20.11512376,0.892211195,692.2775827,0.702922027,-1.01E-12,-1.35E-14,5.02E-15
0.333,0.968024406,20.12962989,0.892009507,692.270773,0.702670413,1.47E-13,5.60E-14,-7.69E-15
0.332,0.963027338,20.1444281,0.891810189,692.2634308,0.702425111,-1.49E-17,1.29E-16,-2.55E-15
0.331,0.958109057,20.1595206,0.891613247,692.255554,0.70218614,1.32E-13,5.05E-14,-2.19E-15
0.33,0.953268675,20.17490966,0.891418687,692.2471411,0.70195351,2.43E-17,-2.56E-16,-1.58E-15
0.329,0.948505316,20.19059754,0.891226515,692.23819,0.701727238,1.86E-14,-1.39E-15,1.44E-15
0.328,0.943818115,20.20658657,0.891036738,692.228699,0.701507339,1.25E-15,9.81E-16,4.77E-15
0.327,0.939206224,20.22287907,0.890849362,692.2186661,0.701293824,-1.04E-15,1.22E-17,6.49E-15
0.326,0.934668805,20.23947742,0.890664391,692.2080895,0.70108671,-3.43E-14,-7.73E-15,2.61E-15
0.325,0.930205033,20.2563853,0.890481831,692.196994,0.700885599,-5.83E-12,-2.39E-11,-8.33E-16
0.324,0.925814096,20.27360126,0.890301687,692.1852967,0.700691738,-3.04E-14,-6.70E-15,1.36E-14
0.323,0.921495194,20.29113162,0.890123964,692.1730764,0.70050391,2.27E-13,1.02E-14,2.03E-15
0.322,0.917247538,20.3089776,0.889948666,692.160304,0.700322538,-1.26E-13,-3.55E-14,2.78E-15
0.321,0.913070351,20.32714171,0.889775799,692.1469774,0.700147639,-1.70E-15,-1.24E-14,5.88E-15
0.32,0.908962868,20.34562651,0.889605365,692.1330942,0.699979226,-1.22E-17,-5.82E-17,9.38E-15
0.319,0.904924335,20.36443458,0.88943737,692.1186522,0.699817314,-1.90E-14,-7.69E-17,1.59E-14
0.318,0.900954009,20.38356855,0.889271816,692.1036491,0.699661917,-4.19E-15,-1.89E-14,9.71E-15
0.317,0.897051157,20.40303109,0.889108708,692.0880824,0.699513052,-1.25E-15,-2.32E-16,5.36E-15
0.316,0.893215058,20.42282488,0.888948047,692.0719498,0.699370731,1.91E-13,-5.03E-15,1.22E-14
0.315,0.889445,20.44295269,0.888789839,692.0552495,0.699234959,-2.88E-14,-6.60E-13,1.35E-14
0.314,0.885740283,20.46341721,0.888634084,692.0379766,0.699105785,-1.50E-16,-1.21E-18,1.51E-14
0.313,0.882100216,20.48422134,0.888480787,692.0201308,0.698983189,-3.95E-15,-1.71E-15,1.50E-14
0.312,0.878524117,20.5053679,0.888329948,692.0017087,0.698867199,-3.03E-17,-1.95E-15,2.69E-14
0.311,0.875011315,20.5268577,0.888181571,691.982664,0.698758488,1.06E-12,3.83E-11,2.82E-14
0.31,0.871561148,20.54869996,0.888035657,691.9631248,0.698655097,-2.56E-18,-1.11E-18,3.51E-14
0.309,0.868172963,20.57089137,0.887892207,691.9429573,0.698559016,2.71E-14,-5.63E-18,3.89E-14
0.308,0.864846118,20.593437,0.887751224,691.9222011,0.698469618,9.51E-14,9.66E-13,3.91E-14
0.307,0.861579977,20.61634009,0.887612708,691.9008566,0.698386871,3.92E-14,1.62E-14,4.28E-14
0.306,0.858373915,20.6396036,0.88747666,691.8789176,0.698310838,-9.91E-17,-2.22E-17,4.45E-14
0.305,0.855227315,20.66323074,0.88734308,691.8563819,0.698241521,-1.37E-15,-5.45E-16,5.91E-14
0.304,0.852139567,20.68722474,0.887211971,691.8332465,0.698178935,1.34E-18,7.54E-20,5.60E-14
