c,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.088,0.039964005,20.67844739,0.942068473,679.3357659,0.843585715,-6.96E-08,-1.57E-07,-5.97E-13
0.089,0.036600752,20.70985613,0.942333901,679.7191886,0.841462527,-7.72E-08,-3.41E-07,-1.12E-11
0.09,0.033488967,20.68945536,0.942598297,678.6056522,0.847602212,-7.39E-08,-6.65E-08,5.99E-13
0.091,0.03065568,20.70666263,0.942861742,678.5507525,0.847932211,-7.34E-08,-1.15E-07,-6.57E-13
0.092,0.02805786,20.71111477,0.943124133,678.1064536,0.850282426,-7.59E-08,-4.82E-08,-1.19E-11
0.093,0.025696793,20.76413514,0.943385645,679.0438626,0.845307214,-8.07E-08,-3.92E-07,1.28E-12
0.094,0.023518462,20.68415867,0.943646224,676.0477912,0.86008692,-7.48E-08,4.05E-07,2.30E-12
0.095,0.021506819,20.74681078,0.943905485,677.3035177,0.854414705,-8.44E-08,-9.28E-09,6.95E-12
0.096,0.019680292,20.7639731,0.944164206,677.1514174,0.855198675,-7.50E-08,-2.97E-08,-7.84E-12
0.097,0.018008091,20.78477479,0.94442184,677.089592,0.855538881,-7.69E-08,-7.55E-08,1.13E-11
0.098,0.016476296,20.79639032,0.944678617,676.7322869,0.857282579,-7.39E-08,-3.89E-08,-2.52E-12
0.099,0.015076548,20.83151529,0.944934467,677.0555021,0.85575784,-7.48E-08,-1.92E-07,-7.63E-13
0.1,0.013790744,20.83446934,0.945189409,676.4028076,0.858905914,-7.25E-08,-7.32E-08,-4.42E-12
