variable,value,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x
c,0.021,12.1741900154791,21.537814118,0.920778539013,692.4678945414734,0.725849476531,3.19735159369e-14,4.88209605934e-15,-6.28594398755e-13
c,0.02,13.2057902521631,21.5822287365,0.92038018514,692.6770321651364,0.723021544901,-8.75698253196e-14,-7.19555751274e-15,-9.67746716096e-12
c,0.019,14.3223801687080,21.6278903812,0.919978367092,692.8872779179695,0.720139176782,2.28372110236e-13,-7.39788960642e-15,6.55765719504e-12
c,0.018,15.5306948826632,21.6750026133,0.919572225485,693.0968150142107,0.717217726922,-1.91689601258e-08,6.8032726794e-10,-7.90785492644e-12
c,0.017,16.8427204423729,21.7531149632,0.919163038511,693.9267453752686,0.706719092183,-1.22714020437e-08,-3.11586399338e-07,-5.61301005675e-13
c,0.016,18.2519977065740,21.7727128993,0.918748905571,693.5044918212784,0.711387653057,-3.87222032314e-08,9.75534992193e-09,-2.75928863092e-11
c,0.015,19.7839129487374,21.8463412439,0.918332083489,694.1767508708439,0.702635728679,-4.28607340909e-09,-2.21671950464e-07,-5.7279181398e-13
c,0.014,21.4342598184776,21.8784810324,0.917910373375,693.954622218846,0.704852351546,-1.56340673789e-14,-3.5967163185e-15,-1.03007533059e-11
c,0.013,23.2210816415097,21.9334653114,0.917484102656,694.171960988966,0.701604903564,-7.03874210855e-13,-2.21068754395e-13,7.03475819264e-12
c,0.012,25.1518737785236,21.9898932195,0.917053747716,694.3900638767332,0.698286090836,-1.10365309308e-12,-2.07774209443e-11,-2.23927820731e-12
c,0.011,27.2376696333173,22.0484890239,0.916618237095,694.6105196308913,0.694898599847,-3.23504542355e-13,-9.23716992513e-16,-1.19010357125e-12
c,0.01,29.4902932561661,22.109205039,0.916177608817,694.8324394932438,0.691438767034,-5.39104073209e-12,5.56937410634e-11,-6.96789848043e-13
c,0.009,31.9226630796544,22.1663091711,0.91573238757,694.9480345041776,0.689294615996,-3.08378440997e-09,5.49612509072e-08,6.04202105015e-12
c,0.008,34.5475455635894,22.2381169081,0.915281716426,695.3256188056763,0.683711795646,-2.0611393485e-08,-2.20483036821e-08,-2.4873089699e-12
c,0.007,37.3949081263533,22.3413888091,0.914826032822,694.7552244516744,0.690125155521,-1.64708450462e-08,3.67219978593e-07,-1.03708708288e-13
c,0.006,40.4355242616717,22.3722735325,0.914365141215,695.7629146962382,0.676456776851,-2.92791348342e-08,-1.22705421287e-08,-1.67921232475e-15
c,0.005,43.7307480131494,22.4477833105,0.913898951667,696.086591094544,0.671318399111,-1.73107462097e-08,-6.03822716131e-08,-1.99382177435e-12
c,0.004,47.2820336388182,22.5150748452,0.913427137848,696.2047847827928,0.668905050272,-5.78996625298e-13,-1.31446731131e-11,1.11896603094e-13
c,0.003,51.1200247339146,22.6185859338,0.912947958305,696.9641377590119,0.65740757085,-3.80208908255e-08,-2.83826800977e-07,-7.44851402779e-12
c,0.002,55.2321679055534,22.6687047882,0.912464727175,696.6801145079372,0.660632616262,-4.5025329053e-13,-4.72301701977e-14,-1.27980959164e-13
c,0.001,59.6716163981727,22.7497288033,0.911973653703,696.9215961022924,0.656335180718,5.9345321812e-12,-4.63829573144e-13,4.69499439326e-13
c,-3.46944695195e-17,64.4501409473580,22.8336282709,0.911475854367,697.1659200701079,0.651921832809,-1.00111139416e-10,-2.70263894359e-11,-4.71289673953e-13
c,0.041,2.32015734602789,20.8988565389,0.928083908135,688.4212294851598,0.7734332327,-1.74008553335e-14,-3.36519858014e-16,-4.01623179158e-14
c,0.042,2.13271689235341,20.8750933118,0.928419901903,688.154942152636,0.776053075324,-2.82776506752e-08,2.82319988921e-08,7.3080430596e-14
c,0.043,1.96018441321366,20.8573637879,0.928755513672,688.0306467998539,0.777383118007,-1.42013982744e-08,-2.79039023343e-09,2.88519208524e-13
c,0.044,1.80141182114861,20.8367798458,0.929088821394,687.8153161956684,0.779494415137,-7.15069407467e-09,4.2592696065e-09,1.11535780611e-13
c,0.045,1.65531591886937,20.8181072813,0.929419983602,687.6273177542632,0.78134056022,9.41541918894e-15,3.73042697976e-14,4.77229367135e-13
c,0.046,1.52090242988455,20.7998054961,0.929748924878,687.429115922569,0.783250444581,-4.0082806086e-16,-2.86457892013e-16,-3.7951586318e-12
