T,Tbar,mu,mubar,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x
60,70,0.0166666666667,0.0142857142857,31.416844699,0.916055495334,670.3715542208621,0.73801789626,0.218534060407665,-1.81046141069e-08,-4.60138406323e-10,-1.02913233491e-11
60,72,0.0166666666667,0.0138888888889,31.5057611591,0.918046973722,669.9363736239198,0.74249234142,0.227695497884796,-2.3749230435e-13,-1.35385464709e-13,-7.18639037167e-12
60,74,0.0166666666667,0.0135135135135,31.6063055054,0.919944116767,669.7481271022815,0.745279593686,0.236782526851171,-1.32664693102e-08,-7.45478843596e-08,-2.57036059104e-12
60,76,0.0166666666667,0.0131578947368,31.6825656741,0.921755243685,669.2410025439002,0.750046158486,0.245779640307063,-7.79340446374e-09,-4.45717071517e-08,2.09707251564e-12
60,78,0.0166666666667,0.0128205128205,31.7519942432,0.923485761278,668.6882806202885,0.754991787567,0.254688887719604,-1.71403832578e-13,3.74676602334e-12,1.85286785914e-10
60,80,0.0166666666667,0.0125,31.8281828075,0.925139685529,668.2916873848329,0.758866202954,0.263506565773754,-1.32923070293e-08,-9.03581826343e-10,6.24833518259e-12
60,82,0.0166666666667,0.0121951219512,31.9004860205,0.926724398124,667.8977840163432,0.762652317883,0.272227835166613,-1.10376566495e-13,-8.73631898096e-15,-2.77110556723e-11
60,84,0.0166666666667,0.0119047619048,31.9706842075,0.928242081463,667.5125143652117,0.766301093013,0.280849731552016,7.7621921833e-14,1.21097290351e-13,2.65851507475e-11
60,86,0.0166666666667,0.0116279069767,32.0451404942,0.929697352659,667.2383773638103,0.769227297085,0.289370641534962,-3.21437625881e-09,-2.81252075176e-08,4.56218396394e-13
60,88,0.0166666666667,0.0113636363636,32.115960481,0.931094219141,666.95289495497,0.772163791986,0.297788904800851,-1.74160898355e-08,-5.03441314699e-08,-1.16654325089e-10
60,90,0.0166666666667,0.0111111111111,32.1767273088,0.932437130433,666.557224864191,0.775684490871,0.306099619171828,-3.71177934686e-09,-4.10065553202e-08,1.01416097742e-12
60,92,0.0166666666667,0.0108695652174,32.2633228533,0.933727663372,666.5856329375828,0.776661516693,0.314324062249815,-1.27603578258e-08,-1.42061859887e-07,1.40846848073e-11
60,94,0.0166666666667,0.0106382978723,32.3157865933,0.934969533443,666.141182252626,0.780378838147,0.322415749873224,-1.82857653194e-08,-1.14761783187e-07,3.55808438268e-11
60,96,0.0166666666667,0.0104166666667,32.3408312362,0.936165594914,665.3213735957902,0.786152614742,0.330392470260004,-1.73560555297e-08,7.29248516076e-09,-2.8655550155e-12
60,98,0.0166666666667,0.0102040816327,32.3972057359,0.937319002933,665.0111781974864,0.788943647966,0.338275683540984,7.29054861051e-14,6.00726035915e-15,-1.07702596841e-11
60,100,0.0166666666667,0.01,32.4494376226,0.938431356745,664.6782392210281,0.791815603434,0.346051369557108,-5.99266543642e-14,-3.47807510934e-14,1.05427055974e-11
