alpha,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.355,1.544294732,20.35222813,0.908097883,691.0737261,0.729767409,-7.39E-08,-4.28E-10,1.84E-12
0.356,1.531867493,20.35102986,0.907774219,691.1541776,0.728619384,-6.29E-08,-2.83E-08,3.33E-13
0.357,1.519594282,20.34828756,0.907452183,691.1843519,0.727974804,-4.85E-08,-3.02E-08,-4.51E-13
0.358,1.507473018,20.34462215,0.90713174,691.1816911,0.727665722,-3.37E-08,-1.48E-08,6.75E-13
0.359,1.496226674,20.3693408,0.906812997,691.9074198,0.719654214,-1.85E-08,-4.03E-07,3.39E-12
0.36,1.483696277,20.33930049,0.906495749,691.2045386,0.726756675,1.01E-14,1.64E-15,1.75E-12
0.361,1.472035283,20.33687987,0.906181177,691.229194,0.726166468,-3.83E-13,2.33E-13,2.00E-12
0.362,1.460523529,20.33541615,0.905867028,691.2530178,0.725584308,7.56E-12,-4.05E-13,5.96E-13
0.363,1.449159347,20.3350564,0.905553224,691.2759853,0.725010429,-1.07E-14,-3.63E-14,-3.74E-14
0.364,1.437941181,20.33391579,0.905242885,691.2987284,0.724438506,-3.52E-14,-6.50E-15,7.52E-15
0.365,1.426867456,20.3340899,0.904932585,691.3205442,0.72387556,3.77E-15,2.30E-15,-7.15E-13
0.366,1.415936636,20.33441165,0.904624259,691.3418206,0.723317707,8.26E-15,2.40E-15,-1.27E-12
0.367,1.405147186,20.33490867,0.904317888,691.3625479,0.722765039,-2.41E-15,-1.48E-16,1.66E-12
0.368,1.394497592,20.33571636,0.904013268,691.382609,0.722218018,-7.60E-15,-9.22E-16,1.14E-11
0.369,1.383986304,20.33622332,0.903711438,691.4021291,0.72167458,-1.38E-12,-1.15E-12,6.28E-12
0.37,1.373611898,20.33790505,0.903409965,691.4211829,0.721139736,-2.00E-14,-3.41E-15,-1.13E-11
0.371,1.36337287,20.33989094,0.90311031,691.4395418,0.720610522,2.90E-15,-7.39E-18,-4.86E-12
0.372,1.353267741,20.34209699,0.902812638,691.4571608,0.720086678,8.16E-15,1.37E-15,2.89E-13
0.373,1.343296606,20.34588797,0.902516501,691.5095802,0.719202129,-1.82E-08,-1.96E-08,3.80E-11
0.374,1.3334794,20.34215766,0.90222229,691.3413345,0.720537408,-2.94E-08,7.94E-08,-2.84E-12
0.375,1.323775414,20.34458782,0.901929876,691.3348034,0.720248363,-4.22E-08,9.12E-08,1.36E-12
0.376,1.315649274,20.39531228,0.901639353,692.5972154,0.706401876,-6.40E-08,-6.22E-07,-1.73E-11
0.377,1.305678272,20.39127008,0.901350614,692.4149891,0.708154162,-7.30E-08,-5.02E-07,-3.08E-13
0.378,1.295382862,20.36638291,0.901063742,691.6589761,0.715934976,-7.79E-08,-6.06E-08,-1.78E-11
0.379,1.286595481,20.34562252,0.900778827,690.9383074,0.722609118,-8.89E-08,3.26E-07,3.15E-13
0.38,1.280518242,20.43554842,0.900495793,693.1898964,0.698007405,-1.24E-07,-9.68E-07,2.31E-14
0.381,1.268111079,20.37752901,0.900214543,691.5857548,0.715619708,-1.08E-07,-6.38E-10,-7.94E-13
0.382,1.259465206,20.36873172,0.899935309,691.175589,0.71928048,-1.18E-07,2.23E-07,-2.22E-12
0.383,1.251009631,20.41236658,0.899657979,692.2321019,0.708182688,-1.29E-07,-3.51E-07,9.71E-12
0.384,1.241956538,20.40031598,0.899386126,691.7577018,0.71281797,-1.35E-08,-7.75E-08,-1.80E-12
0.385,1.233442561,20.4034873,0.899112976,691.6607933,0.713440812,-1.03E-08,-1.98E-08,-4.34E-15
0.386,1.225801868,20.43846591,0.898841807,692.4196412,0.70509059,-1.21E-08,-4.46E-07,1.09E-13
0.387,1.216799227,20.41705501,0.898572994,691.6403116,0.71292869,2.88E-14,1.09E-14,1.56E-12
0.388,1.20864711,20.42538067,0.898305401,691.647178,0.712499957,-1.11E-13,-4.75E-15,1.13E-12
0.389,1.201162865,20.45919855,0.89803967,692.3460492,0.704879403,-1.55E-08,-3.89E-07,1.15E-12
0.39,1.192677215,20.44491776,0.897776333,691.7114412,0.7111362,-1.01E-08,-2.84E-08,-3.58E-13
0.391,1.184850863,20.45262187,0.897515207,691.6670766,0.71121297,-9.72E-10,-1.96E-09,3.55E-12
0.392,1.177134671,20.46232096,0.897255965,691.667507,0.710844042,5.87E-15,1.12E-15,-3.27E-12
0.393,1.169524404,20.47264344,0.896998644,691.6709005,0.710445372,-3.31E-14,-6.15E-15,4.01E-12
